epoch,iter,iter_total,loss,learning_rate,batch_cost,reader_cost,eta,loss_cls,loss_dfl,loss_iou,loss_l1
0,0,19,4.275395,0.0,5.7761,,1.0,3.252976,1.298493,0.149269,0.617012
1,0,19,2.691366,0.001,2.7063,,0.0,2.022984,0.962438,0.133108,0.389135
2,0,19,2.497996,0.000999,3.3698,,0.0,1.309557,1.052217,0.155929,0.501172
3,0,19,2.481587,0.000995,5.0409,,1.0,1.297574,1.14137,0.183455,0.636756
4,0,19,2.330198,0.000989,5.1036,,1.0,1.209772,1.132987,0.183176,0.617012
5,0,19,2.237133,0.00098,5.2974,,1.0,1.129059,1.135956,0.183267,0.624102
6,0,19,2.069055,0.000968,5.4861,,1.0,1.011207,1.127154,0.183683,0.597004
7,0,19,1.932148,0.000955,5.7135,,1.0,0.940087,1.092608,0.169435,0.575787
8,0,19,1.781661,0.000939,4.8154,,0.0,0.875165,1.015873,0.152803,0.467958
9,0,19,1.683037,0.000921,4.7557,,0.0,0.808547,0.975924,0.143644,0.430949
10,0,19,1.588506,0.0009,4.443,,0.0,0.792799,0.916266,0.133489,0.384838
11,0,19,1.530445,0.000878,4.429,,0.0,0.770186,0.876593,0.123102,0.365072
12,0,19,1.478193,0.000854,4.5862,,0.0,0.744984,0.871004,0.116088,0.328651
13,0,19,1.46457,0.000827,4.6697,,0.0,0.73046,0.848435,0.113068,0.314184
14,0,19,1.406791,0.0008,4.749,,0.0,0.707291,0.834918,0.106057,0.301569
15,0,19,1.35177,0.00077,4.8316,,0.0,0.677146,0.818507,0.099819,0.301569
16,0,19,1.328508,0.00074,5.0398,,0.0,0.662279,0.8086,0.098242,0.294083
17,0,19,1.326926,0.000708,5.048,,0.0,0.668155,0.801857,0.096701,0.27995
18,0,19,1.308899,0.000675,13.6799,,1.0,0.65591,0.797601,0.094855,0.270604
19,0,19,1.282305,0.000641,13.8329,,1.0,0.64535,0.785459,0.093402,0.248498
20,0,19,1.278801,0.000606,13.7658,,0.0,0.641731,0.768771,0.093122,0.24285
21,0,19,1.2735,0.000571,13.7182,,0.0,0.640288,0.760372,0.092891,0.240168
22,0,19,1.228841,0.000536,13.6016,,0.0,0.617299,0.7568,0.093122,0.23828
23,0,19,1.209294,0.0005,5.2484,,0.0,0.602242,0.74493,0.091082,0.21901
24,0,19,1.196215,0.000464,5.522,,0.0,0.597535,0.738302,0.088338,0.21901
25,0,19,1.193034,0.000429,5.7773,,0.0,0.610946,0.731487,0.085171,0.214133
26,0,19,1.193034,0.000394,5.7914,,0.0,0.614851,0.724514,0.08387,0.20652
27,0,19,1.184674,0.000359,5.8701,,0.0,0.613532,0.722444,0.078446,0.202265
28,0,19,1.18291,0.000325,5.5113,,0.0,0.610386,0.724514,0.076318,0.199191
29,0,19,1.167015,0.000292,4.6333,,0.0,0.60381,0.710683,0.07595,0.197985
30,0,19,1.163053,0.00026,4.265,,0.0,0.587206,0.702575,0.075232,0.194083
31,0,19,1.119294,0.00023,3.9686,,0.0,0.569931,0.694161,0.072576,0.171723
32,0,19,1.100604,0.0002,3.9599,,0.0,0.565408,0.696436,0.072332,0.171264
33,0,19,1.082094,0.000173,4.3458,,0.0,0.559366,0.691331,0.069791,0.166218
34,0,19,1.071016,0.000146,4.6373,,0.0,0.555152,0.686667,0.068371,0.164606
35,0,19,1.068262,0.000122,4.8601,,0.0,0.554164,0.688725,0.066493,0.164606
36,0,19,1.067051,0.0001,4.9378,,0.0,0.552598,0.690382,0.065257,0.167119
37,0,19,1.066528,7.9e-05,4.8354,,0.0,0.551124,0.68845,0.063445,0.168323
38,0,19,1.065667,6.1e-05,4.7574,,0.0,0.546901,0.680855,0.063553,0.163925
39,0,19,1.0515,4.5e-05,4.673,,0.0,0.543358,0.680855,0.063328,0.161528
40,0,19,1.049813,3.2e-05,4.4771,,0.0,0.540253,0.672757,0.063411,0.160884
41,0,19,1.024769,2e-05,4.6505,,0.0,0.534968,0.657868,0.063078,0.155185
42,0,19,1.013503,1.1e-05,4.6013,,0.0,0.524927,0.657868,0.062468,0.156825
43,0,19,1.019822,5e-06,4.6136,,0.0,0.526147,0.666647,0.062468,0.158528
44,0,19,1.024462,1e-06,4.5889,,0.0,0.535865,0.674671,0.063135,0.161017
